client_id,phonenumber_id
4000262298158823,493-834-041
4001563442001770,648-425-780
4003287025139389,399-933-130
4003363238546650,101-898-166
4003692008962832,009-779-468
4003703336418973,932-411-6655
4004241989218365,263-306-587
4005028242341301,273-970-8341
4005397429250647,703-741-299
4005492253443184,452-031-7826
4005561769710805,547-836-2781
4007167286126711,657-653-712
4007363623990162,282-795-9492
4008574016284869,726-401-8308
4009156007911954,062-856-9672
4011231523255545,622-682-067
4011648807958660,010-783-2273
4011962945073583,701-768-339
4012418950096307,539-925-413
4013994062586046,036-799-5660
4014755265961693,541-763-063
4015189522661988,368-810-479
4015731765729160,056-319-885
4016287515774583,088-741-037
4017356619476855,165-253-863
4017495343903014,010-612-5080
4018926326483797,714-603-6574
4019385199208709,840-470-2953
4021172075421341,899-625-5035
4022877595861656,263-246-913
4023437145708136,327-226-0233
4023440147656022,579-860-4590
4024642604955008,913-749-687
4026084862895261,728-863-0713
4026116443036005,340-867-8092
4026552686206832,433-883-077
4027372423955016,197-639-567
4027834300676627,996-761-270
4029085229091541,350-889-257
4029390942537857,070-328-484
4030836903254590,289-572-0609
4030853689326294,956-136-920
4032114088599843,433-606-846
4033286641800543,117-049-0987
4033881208388567,198-114-300
4033964244330569,534-222-9155
4034457972849180,353-075-8404
4034855641586960,240-913-829
4034919007817839,506-976-312
4037504349324970,300-172-9917
4037801715962288,069-061-8670
4038889753210271,269-435-083
4039292757782396,520-155-9047
4039434765524630,026-683-2994
4040191708288361,206-305-118
4043482523889799,690-462-370
4044383100646843,919-111-181
4045270089000366,827-566-4427
4045807208125614,597-816-948
4046858823145536,679-078-394
4048193664527586,924-423-8733
4048556107600329,274-036-568
4050006777353234,035-048-6865
4050415592246558,726-783-9204
4051644236156936,362-245-6186
4052970267949033,659-795-1431
4053603395841017,478-597-833
4054294970398398,936-943-571
4054436874811733,642-694-6698
4054475809877724,099-076-2651
4055133485582691,331-914-139
4057245040159894,307-686-576
4057961486677716,108-500-446
4060828068565186,649-911-4116
4061022738658154,393-738-731
4061895922943684,955-041-065
4062324527747423,087-638-9036
4062787222030370,176-277-8435
4064741935834428,932-162-859
4064935753230491,055-969-1832
4066891467246158,853-577-7963
4066897989580289,768-114-6382
4067647971006150,140-407-370
4068329442538835,065-015-863
4069405021853529,980-775-0551
4069451375000325,344-435-8054
4069592725541565,527-571-3928
4071010062982629,415-675-001
4071190246160639,034-280-5324
4071423991635111,533-987-4074
4071630532074994,512-810-244
4072963984593669,752-385-2291
4073817752490327,982-762-5256
4073938563102511,111-264-7607
4074369015354022,565-425-966
4075821933451156,212-680-4176
4076580093207522,006-818-8559
4077300546229679,537-651-4168
4079555316760405,576-931-8778
4081324151929823,320-364-6903
4082064342478913,852-824-384
4082843442476657,053-754-4102
4083387438607445,862-900-6931
4083936859803303,489-397-4580
4084714116889889,056-757-4202
4085411201399036,487-740-579
4085620157886859,639-515-3371
4086140346201505,094-365-704
4086976527778344,165-411-489
4087979668266839,230-855-091
4088593612745043,497-264-6627
4089090585581066,297-042-426
4089473530147144,504-220-3217
4089789937340895,184-462-5959
4089823996000957,179-364-772
4090529555126219,341-962-8231
4090604353114988,834-836-4056
4090633881502521,405-648-9836
4091739721831654,456-758-2115
4092439597679332,776-362-6736
4093313223943173,983-994-885
4093599291851286,935-698-265
4093774859294217,746-297-5814
4095105852158885,544-314-4952
4096569168222157,314-123-3697
4097879039711125,236-169-1326
4099137835860291,482-286-755
4102064928577464,975-563-936
4102086739611364,453-370-5382
