client_id,ssn_id
4000262298158823,354-50-5398
4001563442001770,516-65-4589
4003287025139389,677-61-9678
4003363238546650,228-83-3369
4003692008962832,473-57-1527
4003703336418973,266-34-7799
4004241989218365,619-09-5535
4005028242341301,131-32-2960
4005397429250647,067-92-1664
4005492253443184,168-18-6248
4005561769710805,365-19-7409
4007167286126711,687-90-6578
4007363623990162,206-19-0977
4008574016284869,124-53-9796
4009156007911954,130-14-2077
4011231523255545,554-23-9782
4011648807958660,455-79-9078
4011962945073583,207-89-9447
4012418950096307,472-62-6545
4013994062586046,573-81-2955
4014755265961693,878-28-5791
4015189522661988,798-94-8378
4015731765729160,379-07-7325
4016287515774583,291-23-5326
4017356619476855,477-62-8776
4017495343903014,874-43-1096
4018926326483797,332-44-3935
4019385199208709,156-18-5711
4021172075421341,536-41-2582
4022877595861656,574-87-7878
4023437145708136,049-22-2823
4023440147656022,190-34-3416
4024642604955008,618-63-8811
4026084862895261,192-02-4632
4026116443036005,538-52-0432
4026552686206832,701-39-9573
4027372423955016,541-77-2099
4027834300676627,038-25-2480
4029085229091541,526-86-5946
4029390942537857,414-42-2046
4030836903254590,750-16-0764
4030853689326294,232-17-5483
4032114088599843,408-95-3109
4033286641800543,236-79-9772
4033881208388567,590-90-7828
4033964244330569,460-14-5803
4034457972849180,819-76-5918
4034855641586960,189-95-5039
4034919007817839,066-94-2805
4037504349324970,335-18-2957
4037801715962288,303-25-6976
4038889753210271,024-05-2856
4039292757782396,129-70-9126
4039434765524630,818-35-8384
4040191708288361,892-57-2636
4043482523889799,509-15-2069
4044383100646843,665-62-5500
4045270089000366,264-97-0817
4045807208125614,672-21-3405
4046858823145536,498-54-3010
4048193664527586,017-25-8501
4048556107600329,076-34-2500
4050006777353234,171-73-2360
4050415592246558,714-95-1077
4051644236156936,571-57-7735
4052970267949033,246-84-1940
4053603395841017,866-41-3845
4054294970398398,042-65-2887
4054436874811733,869-97-0668
4054475809877724,457-22-2457
4055133485582691,459-81-9787
4057245040159894,489-57-9102
4057961486677716,436-63-2809
4060828068565186,375-53-4073
4061022738658154,564-65-6659
4061895922943684,353-28-7739
4062324527747423,743-71-5347
4062787222030370,728-50-5920
4064741935834428,671-93-8501
4064935753230491,103-21-7770
4066891467246158,602-30-4049
4066897989580289,536-11-2662
4067647971006150,111-40-3909
4068329442538835,198-93-5447
4069405021853529,242-93-6844
4069451375000325,519-76-2780
4069592725541565,869-62-0019
4071010062982629,589-76-7394
4071190246160639,098-57-6861
4071423991635111,529-42-6386
4071630532074994,637-38-5496
4072963984593669,346-58-6476
4073817752490327,289-16-7442
4073938563102511,893-49-7668
4074369015354022,124-60-0305
4075821933451156,621-96-2397
4076580093207522,425-28-8638
4077300546229679,199-42-0314
4079555316760405,354-04-9903
4081324151929823,325-37-2337
4082064342478913,087-69-3012
4082843442476657,353-15-5123
4083387438607445,510-78-8930
4083936859803303,790-51-5451
4084714116889889,326-15-7136
4085411201399036,314-67-1306
4085620157886859,052-05-8390
4086140346201505,510-49-6830
4086976527778344,204-51-5461
4087979668266839,874-02-8296
4088593612745043,347-63-4276
4089090585581066,247-09-6283
4089473530147144,761-56-1302
4089789937340895,455-58-7741
4089823996000957,696-83-0762
4090529555126219,583-52-4259
4090604353114988,680-76-6771
4090633881502521,193-71-7506
4091739721831654,339-96-2237
4092439597679332,061-80-1052
4093313223943173,801-53-8110
4093599291851286,211-21-8002
4093774859294217,778-36-4047
4095105852158885,289-33-9054
4096569168222157,075-61-6318
4097879039711125,071-81-3878
4099137835860291,521-09-2277
4102064928577464,854-05-5973
4102086739611364,490-54-3225
4102599259419208,012-16-0021
4104028409120795,782-40-4869
4104083461103882,317-14-1531
4105642285324914,718-80-4858
4106825202684184,353-84-2577
4106930113280146,225-51-4391
4108267132821842,011-75-0806
4108455648865995,586-10-3379
4108539330122920,456-95-9737
4108710245886541,613-24-5586
4109344572520439,680-73-5418
4111601260795433,233-36-1591
4112155611428482,031-88-1521
4112232831289174,505-51-4470
4112359375475446,477-79-6814
4112936347357404,331-54-4544
4113290478448015,066-66-2436
4113346351685410,439-73-4523
4113412880613503,103-28-4414
4114375793947004,391-49-3058
4114705319793104,459-03-7121
4115209228991148,233-87-7336
4115659483397045,530-19-9782
4116106510440447,481-69-9474
4117982084174946,090-25-0648
4119028638945023,478-94-1958
4119291837292536,781-42-5598
4119673979560418,598-28-8995
4119700034584982,858-53-4330
4121326105105956,235-92-6952
4121431444407848,329-57-6378
4121559561928749,511-45-8825
4122719516801958,259-55-5938
4123634035084946,574-45-1598
4124052784818704,012-95-6015
4125416032094732,314-07-5111
4125954779213933,321-90-6385
4126691129525603,515-84-8157
4127427548008031,828-25-8194
4132956160773830,853-66-5059
4133756949687114,529-96-1846
4134027514035769,003-75-5711
4135150268013060,056-18-8377
4136272771689464,411-61-9555
4136587235881187,404-80-7826
4139040489846297,303-24-2310
4139077592675825,534-79-1372
4140906397903346,134-13-8438
4142167659160681,201-93-0278
4143174624913375,483-71-5266
4143201113853471,010-14-1502
4143326022675945,874-82-1658
4143665054748892,069-78-1823
4144526527104478,896-83-1446
4145633201080203,697-69-0982
4145972151592522,157-97-8294
4146835337359802,299-21-7753
4147671621370448,355-27-5710
4148064211723367,772-05-3821
4148313940113741,054-29-5651
4148365436477717,610-57-8615
4150360627927906,337-94-2023
4151398201183099,874-10-5250
4152091647207122,406-07-1935
4153032831756739,422-78-0017
4154142000360004,176-81-6774
4154354937377304,685-21-5670
4154930623544537,692-09-2822
4155330306734621,354-40-4021
4155381678231241,874-30-3186
4157130410511172,508-16-6312
4157843334023823,241-09-4075
4158697859690245,703-03-4996
4159589531552399,891-73-9352
4159596906771793,004-83-7492
4159656534470299,847-10-1166
4160613779505609,218-91-3479
4162026659035308,397-02-6769
4162551672612197,475-36-7721
4162616937174869,828-16-2475
4163235880264921,542-02-2187
4163294925599395,598-41-2006
4164264381548003,776-63-4875
4165037134036065,878-65-4181
4165066324419757,399-26-4466
4165178068658571,852-23-0256
4166431233800076,332-07-7336
4168362046219311,137-94-0803
4168785726131861,204-92-8520
4170000792420537,033-32-4424
4170276846953026,252-94-7758
4171061522942611,003-05-2878
4173225646842142,539-82-2858
4173599381651847,590-58-9350
4175579019485584,212-96-8610
4176167243885511,210-11-4600
4177175269257464,309-63-6313
4177229992690911,868-25-5320
4177239856164770,202-53-0968
4177432005061415,840-04-0280
4177761667565713,409-48-6979
4177912557394033,010-87-5696
4177986816722630,757-91-3333
4179369914228248,580-98-8605
4179519105007617,116-91-0231
4182098749576399,589-36-4281
4182170232554835,530-19-9782
